car_name,MSRP
2015 Audi A4 Komfort plus S-line Quattro Sedan - P...,"$19,995"
2014 Audi A5 Progressiv Quattro Coupe - Nav|Parkin...,"$20,995"
2017 Audi Q5 Progressiv Quattro SUV - Parking sens...,"$28,995"
2012 Audi S4 Prestige Quattro Sedan - Nav|Camera|P...,"$22,995"
2014 Audi S5 Technik Quattro Coupe - Nav|Camera|Pa...,"$29,995"
2014 Audi S6 Quattro Sedan - Nav|360 Camera|Blind-...,"$34,995"
2013 Audi S7 Sportback Quattro - Navigation|Camera...,"$34,995"
2018 BMW 3-Series 330i xDrive Sedan - Navigation|R...,"$32,995"
2015 BMW 3-Series 335i xDrive M Sport Sedan -Nav|C...,"$29,995"
2015 BMW 4-Series 435i xDrive Gran Coupe - Nav|Cam...,"$34,995"
2013 BMW 7-Series 750Li xDrive M Sport Sedan - Nav...,"$17,995"
2017 BMW X4 xDrive28i SUV - Nav|360 Camera|Blind-s...,"$34,995"
2018 Honda Accord EX-L Sedan - Camera|Lane assist|...,"$28,995"
2008 Hyundai Santa Fe Limited V6 AWD SUV - Leather...,"$9,995"
2016 Jeep Compass High Altitude 4WD SUV - Camera|L...,"$19,995"
2008 Land Rover Range Rover HSE 4WD SUV - Nav|Came...,"$13,995"
2014 Land Rover Range Rover Evoque Dynamic 4WD HB ...,"$30,995"
2012 Land Rover Range Rover Sport SC 4WD SUV - Nav...,"$26,995"
2016 Mercedes-Benz C-Class C300 4Matic Sedan - Nav...,"$28,495"
2016 Mercedes-Benz CLS 400 4Matic - Nav|360 Camera...,"$34,995"
2017 Mercedes-Benz E-Class E400 4Matic Coupe - Nav...,"$36,995"
2017 Mini Cooper Clubman S ALL4 Hatchback - Parkin...,"$20,995"
2016 Volkswagen Golf GTI Autobahn Hatchback - Nav|...,"$23,995"
2016 Volvo V60 T6 Drive-E Premier AWD Wagon -Nav|P...,"$27,995"
2016 Volvo XC60 T5 Special Edition Premier AWD SUV...,"$29,995"
2016 Volvo XC90 T6 Inscription AWD SUV - Nav|360 C...,"$36,995"
